dimension_a,dimension_b,freq_a,freq_b,n11,n10,n01,n00,exp_11,exp_10,exp_01,exp_00,min_expected,chi2,chi2_p,fisher_p,fisher_p_holm,fisher_p_bh,phi
Data Update Currency,Temporal Traceability,1,3,0,1,3,47,0.058824,0.941176,2.941176,47.058824,0.058824,0.063750,0.800664,1.000000,1.000000,1.000000,-0.035355
Data Update Currency,Time Concurrency,1,3,0,1,3,47,0.058824,0.941176,2.941176,47.058824,0.058824,0.063750,0.800664,1.000000,1.000000,1.000000,-0.035355
Semantic Accuracy,Versatility,18,5,2,16,3,30,1.764706,16.235294,3.235294,29.764706,1.764706,0.053755,0.816654,1.000000,1.000000,1.000000,0.032466
External Accuracy,Internal Completeness,8,21,3,5,18,25,3.294118,4.705882,17.705882,25.294118,3.294118,0.052949,0.818010,1.000000,1.000000,1.000000,-0.032221
Causal Traceability,Data Update Currency,2,1,0,2,1,48,0.039216,1.960784,0.960784,48.039216,0.039216,0.041633,0.838322,1.000000,1.000000,1.000000,-0.028571
Compliance,Internal Completeness,25,21,10,15,11,15,10.294118,14.705882,10.705882,15.294118,10.294118,0.028022,0.867057,1.000000,1.000000,1.000000,-0.023440
Semantic Accuracy,Syntactic Accuracy,18,12,4,14,8,25,4.235294,13.764706,7.764706,25.235294,4.235294,0.026418,0.870884,1.000000,1.000000,1.000000,-0.022760
External Completeness,Temporal Traceability,15,3,1,14,2,34,0.882353,14.117647,2.117647,33.882353,0.882353,0.023611,0.877879,1.000000,1.000000,1.000000,0.021517
External Completeness,Time Concurrency,15,3,1,14,2,34,0.882353,14.117647,2.117647,33.882353,0.882353,0.023611,0.877879,1.000000,1.000000,1.000000,0.021517
External Accuracy,Semantic Accuracy,8,18,3,5,15,28,2.823529,5.176471,15.176471,27.823529,2.823529,0.020217,0.886934,1.000000,1.000000,1.000000,0.019910
Semantic Accuracy,Trustworthiness,18,8,3,15,5,28,2.823529,15.176471,5.176471,27.823529,2.823529,0.020217,0.886934,1.000000,1.000000,1.000000,0.019910
Coherence,Syntactic Accuracy,12,12,3,9,9,30,2.823529,9.176471,9.176471,29.823529,2.823529,0.018861,0.890766,1.000000,1.000000,1.000000,0.019231
Coherence,External Accuracy,12,8,2,10,6,33,1.882353,10.117647,6.117647,32.882353,1.882353,0.011404,0.914955,1.000000,1.000000,1.000000,0.014954
Precision,Syntactic Accuracy,8,12,2,6,10,33,1.882353,6.117647,10.117647,32.882353,1.882353,0.011404,0.914955,1.000000,1.000000,1.000000,0.014954
Appropriateness,Causal Traceability,24,2,1,23,1,26,0.941176,23.058824,1.058824,25.941176,0.941176,0.007228,0.932248,1.000000,1.000000,1.000000,0.011905
Semantic Accuracy,Time Concurrency,18,3,1,17,2,31,1.058824,16.941176,1.941176,31.058824,1.058824,0.005366,0.941604,1.000000,1.000000,1.000000,-0.010258
Coherence,Compactness,12,4,1,11,3,36,0.941176,11.058824,3.058824,35.941176,0.941176,0.005217,0.942421,1.000000,1.000000,1.000000,0.010114
Coherence,Provenance,12,4,1,11,3,36,0.941176,11.058824,3.058824,35.941176,0.941176,0.005217,0.942421,1.000000,1.000000,1.000000,0.010114
Compactness,Syntactic Accuracy,4,12,1,3,11,36,0.941176,3.058824,11.058824,35.941176,0.941176,0.005217,0.942421,1.000000,1.000000,1.000000,0.010114
External Accuracy,Logical Consistency,8,6,1,7,5,38,0.941176,7.058824,5.058824,37.941176,0.941176,0.004942,0.943956,1.000000,1.000000,1.000000,0.009844
Logical Consistency,Trustworthiness,6,8,1,5,7,38,0.941176,5.058824,7.058824,37.941176,0.941176,0.004942,0.943956,1.000000,1.000000,1.000000,0.009844
Internal Completeness,Versatility,21,5,2,19,3,27,2.058824,18.941176,2.941176,27.058824,2.058824,0.003168,0.955117,1.000000,1.000000,1.000000,-0.007881
